Code,Name,Type,Latitude,Longitude,Date_Opened,Date_Closed,Species
HG2,London_Haringey,URBAN_BACKGROUND,51.58603000,-0.126486000,19960516,20121109,"NO,NO2,NOx,O3"
HK4,London_Hackney,URBAN_BACKGROUND,51.55877000,-0.056592000,19970106,20070930,"CO,NO,NO2,NOx,O3"
HARR,London_Harrow,SUBURBAN_BACKGROUND,51.57389000,-0.352051000,19790730,19801003,"CO,NO,NO2,NOx,O3,SO2"
ISL,London_Islington,URBAN_BACKGROUND,51.53136200,-0.096954000,19760709,19781011,"NO,NO2,NOx,O3"
LW1,London_Lewisham,URBAN_BACKGROUND,51.44541000,-0.020139000,19970416,20070930,"NO,NO2,NOx,O3,SO2"
SK1,London_Southwark,URBAN_BACKGROUND,51.49055000,-0.096667000,19970228,20070930,"CO,NO,NO2,NOx,O3,SO2"
SUT3,London_Sutton,SUBURBAN_BACKGROUND,51.36789000,-0.165489000,19960401,20020502,"NO,NO2,NOx,O3"
WA2,London_Wandsworth,URBAN_BACKGROUND,51.45696000,-0.191164000,19960401,20070930,"NO,NO2,NOx,O3"
MAN,Manchester_Town_Hall,URBAN_BACKGROUND,53.47850000,-2.244800000,19910808,20070930,"CO,NO,NO2,NOx"
MOLD,Mold,SUBURBAN_BACKGROUND,53.16230600,-3.144889000,20091202,20131231,"NO,NO2,NOx,O3"
NTO2,Northampton_PM10,URBAN_BACKGROUND,52.27349000,-0.886000000,20010405,20070930,PM10
NOR2,Norwich_Centre,URBAN_BACKGROUND,52.63203000,1.295019000,19970724,20080513,"CO,NO,NO2,NOx,O3,PM10,SO2"
NO10,Norwich_Forum_Roadside,URBAN_TRAFFIC,52.62817000,1.291714000,20050408,20070930,"NO,NO2,NOx"
NOR1,Norwich_Roadside,URBAN_TRAFFIC,52.62200000,1.299064000,19970621,20050214,"NO,NO2,NOx"
NTON,Northampton,URBAN_BACKGROUND,52.27349000,-0.885933000,20010112,20120709,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2"
PT,Port_Talbot,URBAN_INDUSTRIAL,51.57980000,-3.761690000,19970109,20070724,"NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,vPM10"
READ,Reading,URBAN_BACKGROUND,51.45352000,-0.955180000,19970717,20030206,"CO,NO,NO2,NOx,O3,PM10,SO2"
REDC,Redcar,SUBURBAN_BACKGROUND,54.61073500,-1.073300000,19970625,20070930,"CO,NO,NO2,NOx,O3,PM10,SO2"
ROTH,Rotherham_Centre,URBAN_BACKGROUND,53.43186000,-1.354444000,19970620,20070930,"NO,NO2,NOx,O3,SO2"
RUGE,Rugeley,URBAN_BACKGROUND,52.75329700,-1.937730000,19910321,19920917,SO2
SALT,Saltash_Roadside,URBAN_TRAFFIC,50.41310000,-4.230300000,20080730,20100831,"PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
OLDB,Sandwell_Oldbury,URBAN_BACKGROUND,52.50431000,-2.017629000,19970627,19980921,"CO,NO,NO2,NOx,O3,SO2"
SHE2,Sheffield_Centre,URBAN_BACKGROUND,53.37772000,-1.473306000,19951222,20130923,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
