Data supplied by AEA on 29/3/2016
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Aberdeen,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2015,01:00,12.600,R,ugm-3 (TEOM FDMS),1.46766,R,ugm-3,9.19275,R,ugm-3,11.44313,R,ugm-3,12.200,R,ugm-3 (TEOM FDMS),9.000,R,ugm-3 (TEOM FDMS),62.79803,R,ugm-3,11.400,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
01-01-2015,02:00,5.300,R,ugm-3 (TEOM FDMS),0.85939,R,ugm-3,9.21379,R,ugm-3,10.53150,R,ugm-3,3.400,R,ugm-3 (TEOM FDMS),8.000,R,ugm-3 (TEOM FDMS),67.45466,R,ugm-3,11.400,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS)
01-01-2015,03:00,4.200,R,ugm-3 (TEOM FDMS),0.64454,R,ugm-3,6.99593,R,ugm-3,7.98421,R,ugm-3,0.000,R,ugm-3 (TEOM FDMS),0.300,R,ugm-3 (TEOM FDMS),70.94714,R,ugm-3,5.800,R,ugm-3 (TEOM FDMS),4.200,R,ugm-3 (TEOM FDMS),5.500,R,ugm-3 (TEOM FDMS)
01-01-2015,04:00,-2.300,R,ugm-3 (TEOM FDMS),0.83226,R,ugm-3,3.97561,R,ugm-3,5.25173,R,ugm-3,0.600,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS),74.78886,R,ugm-3,2.000,R,ugm-3 (TEOM FDMS),-2.900,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS)
01-01-2015,05:00,3.300,R,ugm-3 (TEOM FDMS),0.96635,R,ugm-3,3.72698,R,ugm-3,5.20869,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),0.800,R,ugm-3 (TEOM FDMS),75.13811,R,ugm-3,1.300,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS),0.500,R,ugm-3 (TEOM FDMS)
01-01-2015,06:00,8.800,R,ugm-3 (TEOM FDMS),0.48302,R,ugm-3,2.84580,R,ugm-3,3.58642,R,ugm-3,3.900,R,ugm-3 (TEOM FDMS),-0.900,R,ugm-3 (TEOM FDMS),71.59574,R,ugm-3,-3.300,R,ugm-3 (TEOM FDMS),4.900,R,ugm-3 (TEOM FDMS),-2.400,R,ugm-3 (TEOM FDMS)
01-01-2015,07:00,5.600,R,ugm-3 (TEOM FDMS),0.64423,R,ugm-3,6.44178,R,ugm-3,7.42958,R,ugm-3,2.500,R,ugm-3 (TEOM FDMS),3.700,R,ugm-3 (TEOM FDMS),65.55875,R,ugm-3,5.300,R,ugm-3 (TEOM FDMS),3.100,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS)
01-01-2015,08:00,4.200,R,ugm-3 (TEOM FDMS),2.98011,R,ugm-3,34.71188,R,ugm-3,39.28132,R,ugm-3,2.000,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS),34.42583,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS),-0.700,R,ugm-3 (TEOM FDMS)
01-01-2015,09:00,6.900,R,ugm-3 (TEOM FDMS),1.58376,R,ugm-3,15.29092,R,ugm-3,17.71931,R,ugm-3,6.500,R,ugm-3 (TEOM FDMS),5.800,R,ugm-3 (TEOM FDMS),58.17466,R,ugm-3,7.700,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS)
